Concentration	Replicate	area
0	1	#VALUE!
0	2	#VALUE!
0	3	#VALUE!
0	4	1.99169
0	5	#VALUE!
0	6	#VALUE!
0	7	1.23441
0	8	1.9223
0	9	2.58992
0	10	1.45566
0.3	1	0.99742
0.3	2	0.82265
0.3	3	0.65107
0.3	4	0.64149
0.3	5	0.72836
0.3	6	0.69475
0.3	7	0.7551
0.3	8	0.84652
0.3	9	0.80292
0.3	10	0.82302
0.6	1	0.56195
0.6	2	0.54312
0.6	3	0.37174
0.6	4	0.47171
0.6	5	0.49205
0.6	6	0.49899
0.6	7	0.466
0.6	8	0.5419
0.6	9	0.63532
0.6	10	0.64952
0.9	1	0.527
0.9	2	0.39224
0.9	3	0.49382
0.9	4	0.28882
0.9	5	0.37327
0.9	6	0.38318
0.9	7	0.39793
0.9	8	0.44973
0.9	9	0.35039
0.9	10	0.54241
1.2	1	0.55771
1.2	2	0.60778
1.2	3	0.3891
1.2	4	0.34802
1.2	5	0.36841
1.2	6	0.35813
1.2	7	0.45439
1.2	8	0.34005
1.2	9	0.3319
1.2	10	0.39573
