Treatment	Percentage	Isolate	Replicate	Area
AA	30	CA	1	13.756
AA	30	CA	2	13.499
AA	30	CA	3	12.136
AA	30	CA	4	14.471
AA	30	CA	5	10.936
AA	50	CA	1	5.451
AA	50	CA	2	12.856
AA	50	CA	3	10.397
AA	50	CA	4	7.476
AA	50	CA	5	9.142
AA	70	CA	1	NA
AA	70	CA	2	NA
AA	70	CA	3	4.4
AA	70	CA	4	6.729
AA	70	CA	5	10.537
AA	30	OR	1	14.577
AA	30	OR	2	8.698
AA	30	OR	3	5.576
AA	30	OR	4	8.117
AA	30	OR	5	16.75
AA	50	OR	1	7.692
AA	50	OR	2	7.549
AA	50	OR	3	6.498
AA	50	OR	4	10.832
AA	50	OR	5	5.179
AA	70	OR	1	7.476
AA	70	OR	2	6.629
AA	70	OR	3	5.14
AA	70	OR	4	8.312
AA	70	OR	5	6.535
AA	30	TN	1	3.641
AA	30	TN	2	5.525
AA	30	TN	3	5.643
AA	30	TN	4	7.706
AA	30	TN	5	5.879
AA	50	TN	1	4.923
AA	50	TN	2	2.558
AA	50	TN	3	5.643
AA	50	TN	4	1.051
AA	50	TN	5	2.29
AA	70	TN	1	2.453
AA	70	TN	2	3.374
AA	70	TN	3	3.755
AA	70	TN	4	2.669
AA	70	TN	5	3.066
AB	30	CA	1	1.049
AB	30	CA	2	0.701
AB	30	CA	3	0.584
AB	30	CA	4	1.305
AB	30	CA	5	0.633
AB	50	CA	1	0.336
AB	50	CA	2	0.355
AB	50	CA	3	0.311
AB	50	CA	4	0.336
AB	50	CA	5	0.348
AB	70	CA	1	0.276
AB	70	CA	2	0.297
AB	70	CA	3	0.334
AB	70	CA	4	0.3
AB	70	CA	5	0.303
AB	30	OR	1	0.469
AB	30	OR	2	0.494
AB	30	OR	3	0.391
AB	30	OR	4	0.559
AB	30	OR	5	0.491
AB	50	OR	1	0.336
AB	50	OR	2	0.344
AB	50	OR	3	0.326
AB	50	OR	4	0.297
AB	50	OR	5	0.303
AB	70	OR	1	0.271
AB	70	OR	2	0.325
AB	70	OR	3	0.307
AB	70	OR	4	0.295
AB	70	OR	5	0.328
AB	30	TN	1	0.577
AB	30	TN	2	0.329
AB	30	TN	3	0.65
AB	30	TN	4	0.537
AB	30	TN	5	0.651
AB	50	TN	1	0.316
AB	50	TN	2	0.325
AB	50	TN	3	0.33
AB	50	TN	4	0.321
AB	50	TN	5	0.356
AB	70	TN	1	0.272
AB	70	TN	2	0.305
AB	70	TN	3	0.298
AB	70	TN	4	0.347
AB	70	TN	5	0.311
AC	30	CA	1	5.375
AC	30	CA	2	10.877
AC	30	CA	3	8.956
AC	30	CA	4	8.805
AC	30	CA	5	6.395
AC	50	CA	1	4.934
AC	50	CA	2	4.278
AC	50	CA	3	5.039
AC	50	CA	4	4.305
AC	50	CA	5	5.149
AC	70	CA	1	6.284
AC	70	CA	2	4.586
AC	70	CA	3	8.385
AC	70	CA	4	5.606
AC	70	CA	5	4.775
AC	30	OR	1	9.04
AC	30	OR	2	4.478
AC	30	OR	3	3.908
AC	30	OR	4	7.997
AC	30	OR	5	8.142
AC	50	OR	1	2.963
AC	50	OR	2	4.347
AC	50	OR	3	3.082
AC	50	OR	4	3.006
AC	50	OR	5	3.064
AC	70	OR	1	5.146
AC	70	OR	2	3.012
AC	70	OR	3	3.621
AC	70	OR	4	4.692
AC	70	OR	5	8.278
AC	30	TN	1	5.994
AC	30	TN	2	5.574
