Isolate	Rep	Rating	class
NGM36-1	A	1	strong_sporulation
NGM36-1	B	1	strong_sporulation
NGM36-1	C	1	strong_sporulation
NGM36-1	D	2	strong_overgrowth
Rootshield	A	1	strong_sporulation
Rootshield	B	1	strong_sporulation
Rootshield	C	1	strong_sporulation
Rootshield	D	1	strong_sporulation
TN1-2	A	2	strong_overgrowth
TN1-2	B	1	strong_sporulation
TN1-2	C	1	strong_sporulation
TN1-2	D	2	strong_overgrowth
TN1-26	A	2	strong_overgrowth
TN1-26	B	2	strong_overgrowth
TN1-26	C	1	strong_sporulation
TN1-26	D	2	strong_overgrowth
TN1-4	A	4	weak_halo
TN1-4	B	4	weak_halo
TN1-4	C	4	weak_halo
TN1-4	D	4	weak_halo
TN1-66	A	2	strong_overgrowth
TN1-66	B	2	strong_overgrowth
TN1-66	C	2	strong_overgrowth
TN1-66	D	1	strong_sporulation
TN2-51	A	2	strong_overgrowth
TN2-51	B	2	strong_overgrowth
TN2-51	C	2	strong_overgrowth
TN2-51	D	2	strong_overgrowth
TN3-2	A	2	strong_overgrowth
TN3-2	B	2	strong_overgrowth
TN3-2	C	2	strong_overgrowth
TN3-2	D	1	strong_sporulation
TN3-21	A	2	strong_overgrowth
TN3-21	B	2	strong_overgrowth
TN3-21	C	2	strong_overgrowth
TN3-21	D	2	strong_overgrowth
TN3-49	A	3	weak_contact
TN3-49	B	3	weak_contact
TN3-49	C	3	weak_contact
TN3-49	D	3	weak_contact
TN3-61	A	1	strong_sporulation
TN3-61	B	1	strong_sporulation
TN3-61	C	2	strong_overgrowth
TN3-61	D	1	strong_sporulation
TN4-40	A	2	strong_overgrowth
TN4-40	B	2	strong_overgrowth
TN4-40	C	2	strong_overgrowth
TN4-40	D	2	strong_overgrowth
TN4-47	A	2	strong_overgrowth
TN4-47	B	1	strong_sporulation
TN4-47	C	2	strong_overgrowth
TN4-47	D	1	strong_sporulation
TN5-34	A	1	strong_sporulation
TN5-34	B	1	strong_sporulation
TN5-34	C	1	strong_sporulation
TN5-34	D	1	strong_sporulation
TN5-9	A	3	weak_contact
TN5-9	B	3	weak_contact
TN5-9	C	3	weak_contact
TN5-9	D	3	weak_contact
