Isolate	Concentration	Replicate	Area
RootShield	0.3	1	18.792
RootShield	0.3	2	19.537
RootShield	0.3	3	18.192
RootShield	0.3	4	20.319
RootShield	0.3	5	23.152
RootShield	0.3	6	23.194
RootShield	0.3	7	21.52
RootShield	0.3	8	22.709
RootShield	0.3	9	21.159
RootShield	0.3	10	20.182
RootShield	0.6	1	5.673
RootShield	0.6	2	5.585
RootShield	0.6	3	7.404
RootShield	0.6	4	6.853
RootShield	0.6	5	8.871
RootShield	0.6	6	7.66
RootShield	0.6	7	11.565
RootShield	0.6	8	14.299
RootShield	0.6	9	12.938
RootShield	0.6	10	4.621
RootShield	0.9	1	4.808
RootShield	0.9	2	1.675
RootShield	0.9	3	1.581
RootShield	0.9	4	4.424
RootShield	0.9	5	3.196
RootShield	0.9	6	1.966
RootShield	0.9	7	4.778
RootShield	0.9	8	1.868
RootShield	0.9	9	3.578
RootShield	0.9	10	2.119
RootShield	1.2	1	4.382
RootShield	1.2	2	1.866
RootShield	1.2	3	1.649
RootShield	1.2	4	1.786
RootShield	1.2	5	4.557
RootShield	1.2	6	6.073
RootShield	1.2	7	1.834
RootShield	1.2	8	1.704
RootShield	1.2	9	1.924
RootShield	1.2	10	2.043
RootShield	0	1	24.841
RootShield	0	2	25.484
RootShield	0	3	26.98
RootShield	0	4	23.238
RootShield	0	5	26.402
RootShield	0	6	25.949
RootShield	0	7	25.695
RootShield	0	8	24.693
RootShield	0	9	25.853
RootShield	0	10	23.772
TN4-40	0.3	1	18.973
TN4-40	0.3	2	19.2
TN4-40	0.3	3	20.524
TN4-40	0.3	4	21.988
TN4-40	0.3	5	19.462
TN4-40	0.3	6	22.959
TN4-40	0.3	7	20.911
TN4-40	0.3	8	23.11
TN4-40	0.3	9	21.344
TN4-40	0.3	10	24.052
TN4-40	0.6	1	4.006
TN4-40	0.6	2	1.808
TN4-40	0.6	3	3.362
TN4-40	0.6	4	4.943
TN4-40	0.6	5	5.385
TN4-40	0.6	6	5.061
TN4-40	0.6	7	3.936
TN4-40	0.6	8	6.617
TN4-40	0.6	9	4.204
TN4-40	0.6	10	6.27
TN4-40	0.9	1	0.929
TN4-40	0.9	2	1.389
TN4-40	0.9	3	0.296
TN4-40	0.9	4	0.527
TN4-40	0.9	5	1.581
TN4-40	0.9	6	1.905
TN4-40	0.9	7	2.558
TN4-40	0.9	8	2.412
TN4-40	0.9	9	0.898
TN4-40	0.9	10	1.541
TN4-40	1.2	1	2.898
TN4-40	1.2	2	0.3
TN4-40	1.2	3	0.636
TN4-40	1.2	4	3.218
TN4-40	1.2	5	1.637
TN4-40	1.2	6	0.692
TN4-40	1.2	7	2.296
TN4-40	1.2	8	NA
TN4-40	1.2	9	0.74
TN4-40	1.2	10	0.757
TN4-40	0	1	15.997
TN4-40	0	2	22.061
TN4-40	0	3	21.99
TN4-40	0	4	23.385
TN4-40	0	5	23.142
TN4-40	0	6	26.085
TN4-40	0	7	24.864
TN4-40	0	8	25.35
TN4-40	0	9	15.511
TN4-40	0	10	25.22
TN1-2	0.6	1	8.126
TN1-2	0.6	2	10.92
TN1-2	0.6	3	9.556
TN1-2	0.6	4	9.59
TN1-2	0.6	5	8.364
TN1-2	0.6	6	7.377
TN1-2	0.6	7	8.709
TN1-2	0.6	8	7.11
TN1-2	0.6	9	6.98
TN1-2	0.6	10	7.699
TN1-2	0.3	1	9.19
TN1-2	0.3	2	9.703
TN1-2	0.3	3	7.333
TN1-2	0.3	4	12.021
TN1-2	0.3	5	8.696
TN1-2	0.3	6	9.092
TN1-2	0.3	7	6.209
TN1-2	0.3	8	6.953
TN1-2	0.3	9	8.996
TN1-2	0.3	10	8.149
TN1-2	0	1	21.202
TN1-2	0	2	21.708
TN1-2	0	3	24.617
TN1-2	0	4	23.995
TN1-2	0	5	21.901
TN1-2	0	6	22.991
TN1-2	0	7	21.788
TN1-2	0	8	20.592
TN1-2	0	9	22.91
TN1-2	0	10	24.065
TN1-2	1.2	1	5.48
TN1-2	1.2	2	5.799
TN1-2	1.2	3	5.084
TN1-2	1.2	4	6.007
TN1-2	1.2	5	4.78
TN1-2	1.2	6	6.185
TN1-2	1.2	7	4.727
TN1-2	1.2	8	5.701
TN1-2	1.2	9	5.438
TN1-2	1.2	10	5.563
TN1-2	0.9	1	7.336
TN1-2	0.9	2	6.194
TN1-2	0.9	3	6.473
TN1-2	0.9	4	7.119
TN1-2	0.9	5	8.398
TN1-2	0.9	6	7.001
TN1-2	0.9	7	5.638
TN1-2	0.9	8	8.367
TN1-2	0.9	9	7.654
TN1-2	0.9	10	7.91
TN3-21	0.6	1	4.701
TN3-21	0.6	2	2.738
TN3-21	0.6	3	2.885
TN3-21	0.6	4	4.545
TN3-21	0.6	5	3.148
TN3-21	0.6	6	3.62
TN3-21	0.6	7	2.584
TN3-21	0.6	8	4.292
TN3-21	0.6	9	3.02
TN3-21	0.6	10	4.169
TN3-21	0.3	1	2.031
TN3-21	0.3	2	3.316
TN3-21	0.3	3	3.969
TN3-21	0.3	4	3.82
TN3-21	0.3	5	4.55
TN3-21	0.3	6	1.912
TN3-21	0.3	7	2.118
TN3-21	0.3	8	2.381
TN3-21	0.3	9	2.792
TN3-21	0.3	10	3.366
TN3-21	0	1	3.579
TN3-21	0	2	2.909
TN3-21	0	3	3.762
TN3-21	0	4	4.399
TN3-21	0	5	5.17
TN3-21	0	6	2.734
TN3-21	0	7	3.189
TN3-21	0	8	3.577
TN3-21	0	9	4.405
TN3-21	0	10	5.075
TN3-21	1.2	1	2.5
TN3-21	1.2	2	2.708
TN3-21	1.2	3	3.12
TN3-21	1.2	4	3.147
TN3-21	1.2	5	4.304
TN3-21	1.2	6	3.151
TN3-21	1.2	7	3.063
TN3-21	1.2	8	3.138
TN3-21	1.2	9	3.596
TN3-21	1.2	10	4.053
TN3-21	0.9	1	2.091
TN3-21	0.9	2	2.499
TN3-21	0.9	3	2.384
TN3-21	0.9	4	2.831
TN3-21	0.9	5	2.781
TN3-21	0.9	6	3.021
TN3-21	0.9	7	3.511
TN3-21	0.9	8	2.813
TN3-21	0.9	9	3.415
TN3-21	0.9	10	2.988
TN5-34	0.6	1	7.623
TN5-34	0.6	2	4.929
TN5-34	0.6	3	6.358
TN5-34	0.6	4	7.084
TN5-34	0.6	5	7.529
TN5-34	0.6	6	3.215
TN5-34	0.6	7	5.388
TN5-34	0.6	8	4.633
TN5-34	0.6	9	4.032
TN5-34	0.6	10	4.459
TN5-34	0.3	1	4.202
TN5-34	0.3	2	4.628
TN5-34	0.3	3	3.99
TN5-34	0.3	4	4.099
TN5-34	0.3	5	4.288
TN5-34	0.3	6	3.189
TN5-34	0.3	7	2.873
TN5-34	0.3	8	3.193
TN5-34	0.3	9	4.488
TN5-34	0.3	10	4.212
TN5-34	0	1	9.565
TN5-34	0	2	8.549
TN5-34	0	3	6.367
TN5-34	0	4	5.238
TN5-34	0	5	4.997
TN5-34	0	6	9.57
TN5-34	0	7	6.3
TN5-34	0	8	5.229
TN5-34	0	9	4.864
TN5-34	0	10	4.545
TN5-34	1.2	1	5.99
TN5-34	1.2	2	6.048
TN5-34	1.2	3	6.932
TN5-34	1.2	4	6.02
TN5-34	1.2	5	5.377
TN5-34	1.2	6	6.62
TN5-34	1.2	7	5.637
TN5-34	1.2	8	6.2
TN5-34	1.2	9	5.647
TN5-34	1.2	10	6.527
TN5-34	0.9	1	7.751
TN5-34	0.9	2	7.283
TN5-34	0.9	3	6.694
TN5-34	0.9	4	8.365
TN5-34	0.9	5	7.651
TN5-34	0.9	6	8.949
TN5-34	0.9	7	7.591
TN5-34	0.9	8	6.914
TN5-34	0.9	9	7.329
TN5-34	0.9	10	6.648
NGM36-1	1.2	1	1.704
NGM36-1	1.2	2	0.228
NGM36-1	1.2	3	2.821
NGM36-1	1.2	4	2.858
NGM36-1	1.2	5	0.243
NGM36-1	1.2	6	2.002
NGM36-1	1.2	7	2.918
NGM36-1	1.2	8	0.233
NGM36-1	1.2	9	0.238
NGM36-1	1.2	10	0.23
NGM36-1	0.9	1	1.426
NGM36-1	0.9	2	2.113
NGM36-1	0.9	3	2.385
NGM36-1	0.9	4	1.38
NGM36-1	0.9	5	3.139
NGM36-1	0.9	6	2.564
NGM36-1	0.9	7	0.255
NGM36-1	0.9	8	3.004
NGM36-1	0.9	9	3.27
NGM36-1	0.9	10	0.263
NGM36-1	0.6	1	1.795
NGM36-1	0.6	2	2.693
NGM36-1	0.6	3	0.85
NGM36-1	0.6	4	1.832
NGM36-1	0.6	5	2.914
NGM36-1	0.6	6	1.426
NGM36-1	0.6	7	1.552
NGM36-1	0.6	8	1.938
NGM36-1	0.6	9	1.528
NGM36-1	0.6	10	2.65
NGM36-1	0.3	1	1.133
NGM36-1	0.3	2	1.129
NGM36-1	0.3	3	1.094
NGM36-1	0.3	4	1.147
NGM36-1	0.3	5	1.773
NGM36-1	0.3	6	0.257
NGM36-1	0.3	7	1.543
NGM36-1	0.3	8	0.815
NGM36-1	0.3	9	1.372
NGM36-1	0.3	10	1.207
NGM36-1	0	1	4.289
NGM36-1	0	2	4.406
NGM36-1	0	3	4.547
NGM36-1	0	4	6.526
NGM36-1	0	5	4.791
NGM36-1	0	6	NA
NGM36-1	0	7	5.224
NGM36-1	0	8	6
NGM36-1	0	9	NA
NGM36-1	0	10	5.604
TN1-66	1.2	1	5.776
TN1-66	1.2	2	6.922
TN1-66	1.2	3	6.022
TN1-66	1.2	4	6.873
TN1-66	1.2	5	7.503
TN1-66	1.2	6	6.348
TN1-66	1.2	7	8.102
TN1-66	1.2	8	5.554
TN1-66	1.2	9	7.875
TN1-66	1.2	10	7.207
TN1-66	0.9	1	5.433
TN1-66	0.9	2	6.051
TN1-66	0.9	3	5.996
TN1-66	0.9	4	5.495
TN1-66	0.9	5	4.757
TN1-66	0.9	6	6.053
TN1-66	0.9	7	5.86
TN1-66	0.9	8	5.741
TN1-66	0.9	9	4.012
TN1-66	0.9	10	6.719
TN1-66	0.6	1	7.447
TN1-66	0.6	2	6.826
TN1-66	0.6	3	4.713
TN1-66	0.6	4	6.494
TN1-66	0.6	5	6.185
TN1-66	0.6	6	7.461
TN1-66	0.6	7	6.715
TN1-66	0.6	8	6.783
TN1-66	0.6	9	6.139
TN1-66	0.6	10	6.05
TN1-66	0.3	1	9.692
TN1-66	0.3	2	12.024
TN1-66	0.3	3	15.233
TN1-66	0.3	4	14.839
TN1-66	0.3	5	13.831
TN1-66	0.3	6	16.698
TN1-66	0.3	7	17.868
TN1-66	0.3	8	18.178
TN1-66	0.3	9	17.175
TN1-66	0.3	10	13.169
TN1-66	0	1	26.023
TN1-66	0	2	26.786
TN1-66	0	3	26.927
TN1-66	0	4	27.095
TN1-66	0	5	26.014
TN1-66	0	6	26.958
TN1-66	0	7	28.195
TN1-66	0	8	26.741
TN1-66	0	9	27.865
TN1-66	0	10	26.008
TN3-49	1.2	1	1.335
TN3-49	1.2	2	2.454
TN3-49	1.2	3	2.054
TN3-49	1.2	4	2.526
TN3-49	1.2	5	2.397
TN3-49	1.2	6	1.511
TN3-49	1.2	7	1.17
TN3-49	1.2	8	2.031
TN3-49	1.2	9	2.255
TN3-49	1.2	10	3.359
TN3-49	0.9	1	2.274
TN3-49	0.9	2	4.816
TN3-49	0.9	3	4.01
TN3-49	0.9	4	4.293
TN3-49	0.9	5	2.377
TN3-49	0.9	6	2.601
TN3-49	0.9	7	3.756
TN3-49	0.9	8	1.563
TN3-49	0.9	9	4.497
TN3-49	0.9	10	2.272
TN3-49	0.6	1	1.358
TN3-49	0.6	2	2.854
TN3-49	0.6	3	3.848
TN3-49	0.6	4	3.211
TN3-49	0.6	5	NA
TN3-49	0.6	6	2.43
TN3-49	0.6	7	2.279
TN3-49	0.6	8	3.062
TN3-49	0.6	9	3.323
TN3-49	0.6	10	8.05
TN3-49	0.3	1	7.223
TN3-49	0.3	2	7.936
TN3-49	0.3	3	8.835
TN3-49	0.3	4	11.571
TN3-49	0.3	5	7.37
TN3-49	0.3	6	7.244
TN3-49	0.3	7	NA
TN3-49	0.3	8	7.305
TN3-49	0.3	9	4.06
TN3-49	0.3	10	7.623
TN3-49	0	1	26.726
TN3-49	0	2	26.073
TN3-49	0	3	28
TN3-49	0	4	24.662
TN3-49	0	5	23.91
TN3-49	0	6	24.989
TN3-49	0	7	23.509
TN3-49	0	8	25.181
TN3-49	0	9	25.36
TN3-49	0	10	25.392
TN4-47	1.2	1	10.158
TN4-47	1.2	2	10.875
TN4-47	1.2	3	9.877
TN4-47	1.2	4	12.123
TN4-47	1.2	5	13.778
TN4-47	1.2	6	14.359
TN4-47	1.2	7	9.65
TN4-47	1.2	8	9.264
TN4-47	1.2	9	15.5
TN4-47	1.2	10	11.003
TN4-47	0.9	1	16.387
TN4-47	0.9	2	14.842
TN4-47	0.9	3	15.357
TN4-47	0.9	4	17.431
TN4-47	0.9	5	17.818
TN4-47	0.9	6	19.511
TN4-47	0.9	7	14.377
TN4-47	0.9	8	15.884
TN4-47	0.9	9	15.869
TN4-47	0.9	10	14.813
TN4-47	0.6	1	22.831
TN4-47	0.6	2	22.026
TN4-47	0.6	3	13.747
TN4-47	0.6	4	20.679
TN4-47	0.6	5	18.318
TN4-47	0.6	6	20.351
TN4-47	0.6	7	17.654
TN4-47	0.6	8	18.724
TN4-47	0.6	9	21.352
TN4-47	0.6	10	17.256
TN4-47	0.3	1	27.768
TN4-47	0.3	2	17.582
TN4-47	0.3	3	25.803
TN4-47	0.3	4	19.33
TN4-47	0.3	5	23.989
TN4-47	0.3	6	19.584
TN4-47	0.3	7	24.798
TN4-47	0.3	8	25.688
TN4-47	0.3	9	24.177
TN4-47	0.3	10	24.083
TN4-47	0	1	26.12
TN4-47	0	2	25.591
TN4-47	0	3	26.186
TN4-47	0	4	24.811
TN4-47	0	5	26.827
TN4-47	0	6	27.071
TN4-47	0	7	25.239
TN4-47	0	8	23.816
TN4-47	0	9	27.065
TN4-47	0	10	24.561
TN3-61	1.2	1	6.355
TN3-61	1.2	2	11.195
TN3-61	1.2	3	9.672
TN3-61	1.2	4	10.85
TN3-61	1.2	5	10.54
TN3-61	1.2	6	6.699
TN3-61	1.2	7	4.479
TN3-61	1.2	8	10.769
TN3-61	1.2	9	8.242
TN3-61	1.2	10	11.333
TN3-61	0.9	1	11.599
TN3-61	0.9	2	7.483
TN3-61	0.9	3	16.901
TN3-61	0.9	4	11.9
TN3-61	0.9	5	13.51
TN3-61	0.9	6	8.595
TN3-61	0.9	7	14.682
TN3-61	0.9	8	17.533
TN3-61	0.9	9	NA
TN3-61	0.9	10	10.814
TN3-61	0.6	1	10.407
TN3-61	0.6	2	12.067
TN3-61	0.6	3	14.35
TN3-61	0.6	4	11.431
TN3-61	0.6	5	11.258
TN3-61	0.6	6	12.084
TN3-61	0.6	7	9.61
TN3-61	0.6	8	16.327
TN3-61	0.6	9	12.44
TN3-61	0.6	10	9.171
TN3-61	0.3	1	17.24
TN3-61	0.3	2	13.037
TN3-61	0.3	3	15.606
TN3-61	0.3	4	13.215
TN3-61	0.3	5	9.924
TN3-61	0.3	6	17.953
TN3-61	0.3	7	17.115
TN3-61	0.3	8	15.735
TN3-61	0.3	9	11.459
TN3-61	0.3	10	10.993
TN3-61	0	1	19.933
TN3-61	0	2	17.969
TN3-61	0	3	17.405
TN3-61	0	4	18.499
TN3-61	0	5	19.667
TN3-61	0	6	19.678
TN3-61	0	7	20.161
TN3-61	0	8	18.299
TN3-61	0	9	18.624
TN3-61	0	10	17.164
TN3-2	1.2	1	0.79
TN3-2	1.2	2	1.087
TN3-2	1.2	3	0.855
TN3-2	1.2	4	0.696
TN3-2	1.2	5	0.983
TN3-2	1.2	6	0.954
TN3-2	1.2	7	2.136
TN3-2	1.2	8	0.835
TN3-2	1.2	9	1.917
TN3-2	1.2	10	0.819
TN3-2	0.9	1	0.836
TN3-2	0.9	2	0.886
TN3-2	0.9	3	NA
TN3-2	0.9	4	1.17
TN3-2	0.9	5	0.851
TN3-2	0.9	6	1.069
TN3-2	0.9	7	1.393
TN3-2	0.9	8	0.829
TN3-2	0.9	9	1.259
TN3-2	0.9	10	1.252
TN3-2	0.6	1	1.153
TN3-2	0.6	2	1.266
TN3-2	0.6	3	0.882
TN3-2	0.6	4	1.703
TN3-2	0.6	5	1.095
TN3-2	0.6	6	2.791
TN3-2	0.6	7	1.524
TN3-2	0.6	8	1.202
TN3-2	0.6	9	1.853
TN3-2	0.6	10	2.38
TN3-2	0.3	1	5.207
TN3-2	0.3	2	8.096
TN3-2	0.3	3	9.577
TN3-2	0.3	4	5.649
TN3-2	0.3	5	4.339
TN3-2	0.3	6	9.688
TN3-2	0.3	7	7.268
TN3-2	0.3	8	5.001
TN3-2	0.3	9	2.193
TN3-2	0.3	10	5.145
TN3-2	0	1	15.884
TN3-2	0	2	19.843
TN3-2	0	3	19.776
TN3-2	0	4	19.401
TN3-2	0	5	NA
TN3-2	0	6	21.123
TN3-2	0	7	25.507
TN3-2	0	8	27.616
TN3-2	0	9	26.046
TN3-2	0	10	26.378
TN5-9	1.2	1	4.648
TN5-9	1.2	2	2.532
TN5-9	1.2	3	3.99
TN5-9	1.2	4	3.086
TN5-9	1.2	5	3.488
TN5-9	1.2	6	3.658
TN5-9	1.2	7	3.192
TN5-9	1.2	8	2.079
TN5-9	1.2	9	1.967
TN5-9	1.2	10	2.906
TN5-9	0.9	1	6.842
TN5-9	0.9	2	3.387
TN5-9	0.9	3	5.975
TN5-9	0.9	4	3.804
TN5-9	0.9	5	7.286
TN5-9	0.9	6	8.221
TN5-9	0.9	7	3.854
TN5-9	0.9	8	8.036
TN5-9	0.9	9	6.608
TN5-9	0.9	10	6.466
TN5-9	0.6	1	5.875
